query, dcg@10
23849, 0.2890648263178878
42255, 14.9165082750002
47210, 17.951615323586772
67316, 7.0
118440, 4.416508275000202
121171, 5.056649103653413
135802, 12.763483535311373
141630, 6.472085511897926
156498, 4.901788907020144
169208, 6.4525880959238044
174463, 7.416508275000202
258062, 9.023453784225214
324585, 7.0
330975, 5.946038405679959
332593, 11.219453000293806
336901, 3.0147359065137516
390360, 7.3169161285439195
405163, 15.246708288661921
555530, 0.3868528072345416
583468, 24.143953229684456
640502, 12.201419960397946
673670, 4.8927892607143715
701453, 19.768541251244844
730539, 12.629296253917301
768208, 12.406075075354144
877809, 17.95631607813879
911232, 5.749755712591929
914916, 12.093130290294111
938400, 0.0
940547, 4.945859079330484
997622, 9.478732993720168
1030303, 19.08560846251293
1037496, 13.9137922056359
1043135, 15.407525167228123
1051399, 0.0
1064670, 6.939725036603284
1071750, 6.847469127403145
1105792, 8.500950096341658
1106979, 14.57626737591509
1108651, 7.0
1109707, 23.126637005921122
1110678, 2.9399275249591557
1113256, 27.47533356823484
1115210, 2.948459118879392
1116380, 0.6309297535714574
1121353, 3.9873256617268065
1122767, 15.547344732166335
1127540, 23.747494571293085
1131069, 7.0
1132532, 5.753875494704992
1133579, 7.996671719285522
1136043, 11.463844342884501
1136047, 7.903089986991944
1136962, 24.040494025348583
