date_time_execution,cod_metric,cod_original_query,cod_noise_kind,cod_search_context,value,qtd_judment_assumed_zero_relevance
2021-11-22 10:40:57,DCG@10,1127540,0,4,24.85095377562896,0
2021-11-22 10:40:57,DCG@10,1131069,0,4,7.0,0
2021-11-22 10:40:57,DCG@10,1132532,0,4,1.5900948219818691,0
2021-11-22 10:40:57,DCG@10,1133579,0,4,5.473947265522557,0
2021-11-22 10:40:57,DCG@10,1136043,0,4,10.370962173829778,0
2021-11-22 10:40:57,DCG@10,1136047,0,4,4.731973151785931,0
2021-11-22 10:40:57,DCG@10,1136962,0,4,24.264346434727205,0
2021-11-22 10:40:57,nDCG@10,23849,0,4,0.05490162180062975,0
2021-11-22 10:40:57,nDCG@10,42255,0,4,0.37291464931616275,0
2021-11-22 10:40:57,nDCG@10,47210,0,4,0.8662197873089202,0
2021-11-22 10:40:57,nDCG@10,67316,0,4,0.27246345699710156,0
2021-11-22 10:40:57,nDCG@10,118440,0,4,0.09478836436955079,2
2021-11-22 10:40:57,nDCG@10,121171,0,4,0.07336392209936006,9
2021-11-22 10:40:57,nDCG@10,135802,0,4,0.8630084885045989,0
2021-11-22 10:40:57,nDCG@10,141630,0,4,0.3310440361812822,0
2021-11-22 10:40:57,nDCG@10,156498,0,4,0.3408937879601314,0
2021-11-22 10:40:57,nDCG@10,169208,0,4,0.29495549945770944,0
2021-11-22 10:40:57,nDCG@10,174463,0,4,0.13234507098623355,0
2021-11-22 10:40:57,nDCG@10,258062,0,4,0.2200917662980802,0
2021-11-22 10:40:57,nDCG@10,324585,0,4,0.13886244387355454,1
2021-11-22 10:40:57,nDCG@10,330975,0,4,0.1845130834102271,0
2021-11-22 10:40:57,nDCG@10,332593,0,4,0.461143668299028,0
2021-11-22 10:40:57,nDCG@10,336901,0,4,0.3759063358712073,0
2021-11-22 10:40:57,nDCG@10,390360,0,4,0.46604515530269475,0
2021-11-22 10:40:57,nDCG@10,405163,0,4,0.7538142945344392,0
2021-11-22 10:40:57,nDCG@10,555530,0,4,0.0,0
2021-11-22 10:40:57,nDCG@10,583468,0,4,0.9068559294968371,0
2021-11-22 10:40:57,nDCG@10,640502,0,4,0.2172607128522299,0
2021-11-22 10:40:57,nDCG@10,673670,0,4,0.0,0
2021-11-22 10:40:57,nDCG@10,701453,0,4,0.8615706360990703,0
2021-11-22 10:40:57,nDCG@10,730539,0,4,0.40443179953242814,0
2021-11-22 10:40:57,nDCG@10,768208,0,4,0.6234275081936855,0
2021-11-22 10:40:57,nDCG@10,877809,0,4,0.30654074959623534,0
2021-11-22 10:40:57,nDCG@10,911232,0,4,0.2458989436720621,0
2021-11-22 10:40:57,nDCG@10,914916,0,4,0.69431067786686,0
2021-11-22 10:40:57,nDCG@10,938400,0,4,0.03144168089972574,0
2021-11-22 10:40:57,nDCG@10,940547,0,4,0.3231551713332269,0
2021-11-22 10:40:57,nDCG@10,997622,0,4,0.7791714369672127,0
2021-11-22 10:40:57,nDCG@10,1030303,0,4,0.9418799076113881,0
2021-11-22 10:40:57,nDCG@10,1037496,0,4,0.39877172153188584,0
2021-11-22 10:40:57,nDCG@10,1043135,0,4,0.575021597768257,0
2021-11-22 10:40:57,nDCG@10,1051399,0,4,0.0,0
2021-11-22 10:40:57,nDCG@10,1064670,0,4,0.708773221634434,0
2021-11-22 10:40:57,nDCG@10,1071750,0,4,0.38456386872957893,0
2021-11-22 10:40:57,nDCG@10,1105792,0,4,0.6058468396009462,0
2021-11-22 10:40:57,nDCG@10,1106979,0,4,0.6969915277837558,0
2021-11-22 10:40:57,nDCG@10,1108651,0,4,0.2863459897524692,0
