query, dcg@10
23849, 16.689854259396537
42255, 17.075732428174042
47210, 26.772612798586824
67316, 17.369096370924
118440, 8.857051577981402
121171, 6.153272955427946
135802, 9.850382753865262
141630, 12.465213542127312
156498, 11.396067615340272
169208, 9.816976321918249
174463, 9.716678421164763
258062, 20.89909893987164
324585, 22.972547165489075
330975, 21.842976885163488
332593, 18.12310134357489
336901, 10.014735906513751
390360, 16.497263314073056
405163, 2.107209969647868
555530, 5.05435790888666
583468, 29.220856018178058
640502, 31.804915366618417
673670, 11.4165082750002
701453, 22.633186696164962
730539, 10.658161197241894
768208, 17.028338611409268
877809, 24.60989625798662
911232, 10.726122594047705
914916, 9.466723439533904
938400, 17.27287664853846
940547, 6.390415648718751
997622, 31.804915366618417
1030303, 14.291888970223773
1037496, 30.648656061346866
1043135, 23.877103260844436
1051399, 18.324303857326445
1064670, 6.657175504919072
1071750, 12.0715791209018
1105792, 8.247332251295576
1106979, 16.234128808830107
1108651, 24.86406890061951
1109707, 22.40243281254453
1110678, 7.041408953824533
1113256, 28.182676571548026
1115210, 2.461588417367606
1116380, 0.8868528072345416
1121353, 7.881990689916057
1122767, 22.064596712906507
1127540, 24.791603713727703
1131069, 13.514735906513751
1132532, 27.208455571694326
1133579, 10.857157642330543
1136043, 18.30235430212926
1136047, 10.31358910931085
1136962, 23.804915366618417
