query, dcg@10
23849, 22.93069369495727
42255, 13.514735906513751
47210, 23.132664141911903
67316, 0.7890648263178879
118440, 4.9165082750002025
121171, 8.268831952706009
135802, 8.405005075502428
141630, 5.145619329416308
156498, 0.8333333333333333
169208, 7.297251042587794
174463, 11.199568244459641
258062, 3.999999324861971
324585, 29.471582033285088
330975, 12.495304212257356
332593, 7.820262428119193
336901, 7.0
390360, 12.713258765089428
405163, 0.0
555530, 5.6122735206797065
583468, 23.45376613984866
640502, 21.48399948612078
673670, 12.516884837183675
701453, 9.57838431520932
730539, 11.182732054940859
768208, 11.273479298838678
877809, 23.469364411727177
911232, 9.995983043192659
914916, 9.0164059787389
938400, 25.486467060270733
940547, 4.674489091659804
997622, 25.346555400563034
1030303, 2.3333333333333335
1037496, 27.257742568107375
1043135, 3.2476752714631285
1051399, 16.336546755855604
1064670, 5.380299806094905
1071750, 7.1085108600117906
1105792, 8.789069122140733
1106979, 10.995304212257356
1108651, 20.651152458279945
1109707, 6.418106178673197
1110678, 4.1342774332557095
1113256, 27.005602543486248
1115210, 4.303800732831639
1116380, 0.0
1121353, 7.30541884523126
1122767, 20.88324444782376
1127540, 13.449898151054967
1131069, 14.916508275000202
1132532, 10.091817658324464
1133579, 12.691507568777368
1136043, 5.946585820810172
1136047, 6.9732627332105634
1136962, 31.80491536661842
