query, ndcg@10
23849, 0.7209795539661995
42255, 0.7199775715968755
47210, 0.8208114684630632
67316, 0.029388608105497763
118440, 0.15458328432341742
121171, 0.6066339432310229
135802, 0.6439359458885995
141630, 0.25531001111702756
156498, 0.052677407348903436
169208, 0.30561709948100796
174463, 0.6352318518549335
258062, 0.1257667023714285
324585, 0.9266360779006401
330975, 0.3928733677867947
332593, 0.2912645705608399
336901, 0.46927872602275655
390360, 0.4735035286447765
405163, 0.0
555530, 0.4117383973714472
583468, 0.737425830865914
640502, 0.6754930562924814
673670, 0.42510042622957694
701453, 0.40115353234312606
730539, 0.634276914699076
768208, 0.5108985562879856
877809, 0.7379162667529054
911232, 0.7314077582797939
914916, 0.2834909596458879
938400, 0.8013373645704036
940547, 0.34293885357483817
997622, 0.7969383068117231
1030303, 0.11573830561745937
1037496, 0.8570292438733029
1043135, 0.11029806218660299
1051399, 0.7373952328651661
1064670, 0.5565766760187354
1071750, 0.37464072759034356
1105792, 0.7436038355696598
1106979, 0.5455536177381705
1108651, 0.6493069458048248
1109707, 0.20179604645040083
1110678, 0.42767921388582614
1113256, 0.9582341292150335
1115210, 0.33609214855431097
1116380, 0.0
1121353, 0.829650352088322
1122767, 0.6566043080794439
1127540, 0.5009395586224886
1131069, 1.0000000000000002
1132532, 0.3173037105112553
1133579, 0.5728663051592666
1136043, 0.2214797497298329
1136047, 0.394490931959444
1136962, 1.0000000000000002
